"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7134","Access Orders","chromium","Fri Dec 13 16:43:17 CET 2024","passed","Fri Dec 13 16:43:24 CET 2024","My Account","account.spec.ts","",""
"","2002","get started link","chromium","Fri Dec 13 16:43:26 CET 2024","passed","Fri Dec 13 16:43:28 CET 2024","","example.spec.ts","",""
"","8352","should upload a test file with a hidden input","chromium","Fri Dec 13 16:43:17 CET 2024","passed","Fri Dec 13 16:43:26 CET 2024","Cart","cart.spec.ts","",""
"","3791","Open HomePage and verify Title","chromium","Fri Dec 13 16:43:26 CET 2024","passed","Fri Dec 13 16:43:30 CET 2024","Home","home.spec.ts","",""
"","1","should upload a test file with wait","chromium","Fri Dec 13 16:43:43 CET 2024","skipped","Fri Dec 13 16:43:43 CET 2024","Upload","upload.spec.ts","",""
"","7430","should upload a test file with a hidden input","chromium","Fri Dec 13 16:43:40 CET 2024","passed","Fri Dec 13 16:43:47 CET 2024","Upload","upload.spec.ts","",""
"","11366","should upload a test file","chromium","Fri Dec 13 16:43:17 CET 2024","failed","Fri Dec 13 16:43:29 CET 2024","Cart","cart.spec.ts","",""
"","10587","Verify Login end register is visible","chromium","Fri Dec 13 16:43:17 CET 2024","failed","Fri Dec 13 16:43:28 CET 2024","Account Page","account.spec.ts","",""
"","5579","Open AboutPage and verify Title","chromium","Fri Dec 13 16:43:28 CET 2024","passed","Fri Dec 13 16:43:34 CET 2024","Home","home.spec.ts","",""
"","4668","Verify home link is enabled using text an css selector","chromium","Fri Dec 13 16:43:30 CET 2024","passed","Fri Dec 13 16:43:35 CET 2024","Home","home.spec.ts","",""
"","9352","Verify the Text of all nav links","chromium","Fri Dec 13 16:43:34 CET 2024","passed","Fri Dec 13 16:43:43 CET 2024","Home","home.spec.ts","",""
"","8518","Verify n. element with nth() methode","chromium","Fri Dec 13 16:43:34 CET 2024","passed","Fri Dec 13 16:43:43 CET 2024","Home","home.spec.ts","",""
"","6026","Verify Recent Posts count and verify the lenght of each list item","chromium","Fri Dec 13 16:43:17 CET 2024","passed","Fri Dec 13 16:43:23 CET 2024","Blog","blog.spec.ts","",""
"","9014","should upload a test.pdf file","chromium","Fri Dec 13 16:43:35 CET 2024","passed","Fri Dec 13 16:43:44 CET 2024","Upload","upload.spec.ts","",""
"","9158","Verify Submit Button in Contact Page after Filling the Form","chromium","Fri Dec 13 16:43:25 CET 2024","passed","Fri Dec 13 16:43:34 CET 2024","Contact","contact.spec.ts","",""
"","1164","has title","chromium","Fri Dec 13 16:43:25 CET 2024","passed","Fri Dec 13 16:43:26 CET 2024","","example.spec.ts","",""
"","6354","should upload a test file with wait","chromium","Fri Dec 13 16:43:24 CET 2024","passed","Fri Dec 13 16:43:30 CET 2024","Cart","cart.spec.ts","",""
"","6792","Access Downloads","chromium","Fri Dec 13 16:43:17 CET 2024","passed","Fri Dec 13 16:43:24 CET 2024","My Account","account.spec.ts","",""
"","9341","should upload a Bild.png file","chromium","Fri Dec 13 16:43:35 CET 2024","passed","Fri Dec 13 16:43:44 CET 2024","Upload","upload.spec.ts","",""
"","4594","Verify Heading Text ist visible using the text selector","chromium","Fri Dec 13 16:43:30 CET 2024","passed","Fri Dec 13 16:43:35 CET 2024","Home","home.spec.ts","",""
"","8207","Click get startedbutton using CSS Selector","chromium","Fri Dec 13 16:43:31 CET 2024","passed","Fri Dec 13 16:43:39 CET 2024","Home","home.spec.ts","",""
"","8827","Verify search icon is visible using xpath selector","chromium","Fri Dec 13 16:43:34 CET 2024","passed","Fri Dec 13 16:43:42 CET 2024","Home","home.spec.ts","",""
